Date-py,Symbol,Abs_Pct_Change
2023-06-07,GOOG,0.038855459655837365
2023-07-05,GOOG,0.017169865911908833
2023-07-10,GOOG,0.027218212312453915
2023-07-12,GOOG,0.01622635303904807
2023-08-23,GOOG,0.0271416835971674
2023-09-26,GOOG,0.020579564509034753
2023-09-27,GOOG,0.015527308200710133
2023-10-06,GOOG,0.020148473411704115
2023-10-25,GOOG,0.09598913417032295
2023-11-03,GOOG,0.013921239478593028
2023-11-17,GOOG,0.012689221615484247
2023-12-07,GOOG,0.05341249618722865
2024-01-19,GOOG,0.020553113299085712
2024-02-21,GOOG,0.011533045250345708
2023-03-22,GOOGL,0.0
2023-03-22,GOOGL,0.0
2023-03-22,GOOGL,0.0
2023-03-22,GOOGL,0.0
2023-03-22,GOOGL,0.0
2023-04-06,GOOGL,0.03780986849995349
2023-04-14,GOOGL,0.013404104998603561
2023-05-10,GOOGL,0.040987443707264815
2023-05-11,GOOGL,0.043131991051454044
2023-06-22,GOOGL,0.02156780535293712
2023-07-13,GOOGL,0.04717061296560998
2023-07-19,GOOGL,0.013978692404998494
2023-07-26,GOOGL,0.05776945469085559
2023-08-07,GOOGL,0.026695792469785262
2023-08-14,GOOGL,0.013661655042631393
2023-08-28,GOOGL,0.00870026144517011
2023-09-20,GOOGL,0.031150305839265147
2023-10-02,GOOGL,0.02529418443149778
2023-11-06,GOOGL,0.008907776503124243
2023-11-24,GOOGL,0.012997349519916601
2024-01-24,GOOGL,0.011289472789896005
2024-01-30,GOOGL,0.013354101145010233
2024-01-31,GOOGL,0.07500330433762614
2024-02-02,GOOGL,0.008642681818002984
2024-03-07,GOOGL,0.022678927976206964
2023-10-30,GOOGL.A,0.08330267855041096
2023-03-22,LULU,0.0
2023-03-22,LULU,0.0
2023-03-22,LULU,0.0
2023-03-22,LULU,0.0
2023-03-22,LULU,0.0
2023-03-29,LULU,0.1271581007596272
2023-05-19,LULU,0.02685506384404346
2023-05-23,LULU,0.02550123961088957
2023-06-02,LULU,0.11295871881299724
2023-06-29,LULU,0.015920239202657727
2023-06-30,LULU,0.022254604271198408
2023-07-06,LULU,0.023830397718832885
2023-07-11,LULU,0.02695394646160798
2023-08-22,LULU,0.014237415134903841
2023-08-24,LULU,0.04630534117907403
2023-09-01,LULU,0.0601426622215111
2023-09-25,LULU,0.009586396379427153
